"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00013510",22.2057539386525,4.47286164998386,0.130045957935075,34.3944688555175,3.05037489570691e-259,1.0074901416883e-258
"WBGene00013511",14.097810699614,3.81739923353667,0.168577482510074,22.644775427279,1.57070915018582e-113,4.10452027209867e-113
"WBGene00013512",0.439648124922115,-1.18557877914986,0.397649150169404,-2.98146941504789,0.00286868699810251,0.00332958040860328
"WBGene00013513",8.37252369521034,3.06566255393158,0.0800871910683003,38.2790620202563,0,0
"WBGene00013514",37.4666557450183,5.22753530406231,0.129981005956333,40.2176861580722,0,0
"WBGene00013515",148.272061872738,7.21210297371186,0.20166762551468,35.7623240483232,4.25650629841105e-280,1.44620300822066e-279
"WBGene00013516",38.2711099555792,5.25818383817724,0.231470321735446,22.7164493432855,3.08131365438802e-114,8.06293934949377e-114
"WBGene00013517",8.50257275626014,3.08789944608414,0.180750863354161,17.0837327622262,1.96158521641893e-65,4.56613214693229e-65
"WBGene00013518",114.293724236354,6.83660237843946,0.13979544636216,48.9043281190167,0,0
"WBGene00013519",1.09016106039533,0.124541294514379,0.596195525680804,0.20889337331434,0.834531477376533,0.841303098336363
"WBGene00013520",107.434245309427,6.74731012409518,0.270605828023169,24.9340901982255,3.17752113903293e-137,8.7065411503481e-137
"WBGene00013521",0.900122379357958,-0.151806933344904,0.431123398190523,-0.352119448821512,0.724748683232171,0.734618539043652
"WBGene00013522",63.997912400859,5.99995294034298,0.135715501969642,44.2097833575792,0,0
"WBGene00013523",2.70070905628678,1.4333382286434,0.417328570162275,3.43455572209221,0.000593526031889844,0.000720785813275873
"WBGene00013524",2.74350246883412,1.45601887406663,0.343381054231147,4.24024230843705,2.23278629971866e-05,3.14128277043304e-05
