"","3-fold embryo Ce","4-cell embryo Ce","adult Ce","dauer larva Ce","elongating embryo Ce","enclosing embryo Ce","fully-elongated embryo Ce","gastrulating embryo Ce","L1 larva Ce","L2 larva Ce","L2d-dauer molt Ce","L3 larva Ce","L4 larva Ce","late cleavage stage embryo Ce","newly molted young adult hermaphrodite Ce","post dauer stage Ce","proliferating embryo Ce"
"WBGene00011501",3369,6189,13894,2856,1400,467,3236,3384,1679,109,2897,411,3079,537,16922,2145,42267
"WBGene00011502",2755,539,1703,2140,5181,576,5415,2489,3818,931,1652,1658,785,2208,3368,1975,10281
"WBGene00011503",1746,1278,1434,1707,2968,144,3426,766,1775,691,904,1653,1299,1121,4742,1187,4317
"WBGene00011505",118,527,593,6,59,16,178,117,63,9,8,3,893,22,761,11,3270
"WBGene00011507",3266,4331,8346,11312,3906,158,9201,1223,20022,4616,8059,7596,4134,1711,16144,8361,17606
"WBGene00011508",61658,16,18,1758,35136,849,119066,1070,254,15,28538,54,51,2770,21,341,15441
"WBGene00011509",2714,2429,2726,73,11501,9756,13920,43376,669,97,265,422,431,10993,2163,374,87476
"WBGene00011510",6923,5388,15772,32830,5382,2577,16047,13684,62350,15843,18024,19805,10758,2877,26433,19947,83502
"WBGene00011511",7590,1264,4438,8309,5615,1213,15375,1970,15037,3102,7874,6364,3642,1936,10360,6216,11968
"WBGene00011512",112,7,21,1627,81,26,201,95,394,82,1114,132,74,49,105,791,113
"WBGene00011513",128,48,164,1592,182,7,174,42,150,51,813,272,266,69,1110,1037,187
"WBGene00011515",87,8,2,66,8,9,145,8,172,6,23,48,205,13,23,15,108
"WBGene00011516",9,2,0,6,2,2,8,4,9,3,3,0,4,1,5,1,14
"WBGene00011517",1751,6,61,3014,1738,15,2831,292,2112,552,1921,649,371,345,276,1178,922
"WBGene00011518",0,0,0,175,0,5,10,1,8,0,60,0,8,5,4,53,16
"WBGene00011519",33,0,0,8,45,1,45,2,9,1,7,0,6,11,5,3,32
"WBGene00011520",1511,4,13,412,1307,6,1475,64,2454,134,232,122,53,138,86,386,541
"WBGene00011521",31,1,0,15,26,7,29,6,4762,7,11,0,6,11,2,14,84
"WBGene00011522",1430,57,5203,79013,629,38,15374,59,219325,12570,92187,9167,6634,126,2311,35721,18192
"WBGene00011523",92,4,3,251,13,6,742,7,2827,80,258,44,72,11,16,193,472
"WBGene00011524",22717,6,41,141,14706,65,27701,1283,2179,2009,329,750,1381,2038,110,116,9809
"WBGene00011526",2201,725,1842,3866,2249,460,3742,1590,2727,1317,2255,2222,1809,933,3720,3377,8173
"WBGene00011527",4678,3059,5492,11092,4835,408,8238,3215,22371,2956,6099,5197,3821,1522,10354,7910,25625
"WBGene00011528",1723,1472,798,2397,3034,2996,2781,8386,5000,730,1209,853,677,2158,2404,1464,13783
"WBGene00011529",2922,1744,3252,3212,4229,1635,6012,4206,8739,997,5436,2446,2673,2146,5059,4098,18235
"WBGene00011530",5056,13,62,774,583,27,30482,102,681,3607,10875,1949,6483,136,490,259,6707
"WBGene00011531",20132,27,461,6283,20530,530,30636,1911,51815,7320,6134,3418,1513,5810,1710,5522,13152
"WBGene00011532",1243,1474,2254,2515,4570,790,5698,4425,1405,531,1229,1234,1196,2679,5819,1923,17391
"WBGene00011533",5,0,12,0,10,4,4,0,48,1,0,37,80,3,61,6,3
"WBGene00011534",130,2,1,178,45,75,467,236,2006,72,208,5,96,48,15,58,436
"WBGene00011535",104,2,20,17,8,1,1220,1,40,180,50,230,2251,3,131,7,216
"WBGene00011536",80,0,7,13,0,1,1107,8,20,104,62,313,1670,2,107,2,221
"WBGene00011537",24,1,8,46,0,0,1638,4,38,250,552,374,2961,1,109,14,2786
"WBGene00011538",1778,230,953,5242,3043,1622,4882,3879,4793,792,3080,1467,1677,2204,3778,3666,7414
"WBGene00011539",382,3,12,567,1445,164,595,370,241,42,1188,17,30,475,22,334,937
"WBGene00011540",1,4,397,455,4,7,26,1,1917,261,200,938,388,12,830,966,12
"WBGene00011541",0,3,0,92,1,1,7,1,16,3,38,1,3,5,3,62,23
"WBGene00011542",26,27,15,32,8,6,37,146,24,9,12,25,43,6,27,22,1006
"WBGene00011543",578,658,1180,3146,1590,583,1601,1647,3451,511,3087,1592,935,915,4101,3321,2877
"WBGene00011544",0,2,0,1,0,0,6,1,167,8,0,0,1,0,3,0,13
"WBGene00011545",475,3,3,440,106,4,1314,21,3089,171,352,34,22,17,26,388,364
"WBGene00011546",16,3,20,142,2,3,59,2,364,61,128,165,45,13,102,104,17
"WBGene00011547",1,1,0,0,0,2,13,4,25,3,1,1,9,3,2,1,22
"WBGene00011548",215,4,16,47,82,2,183,1,27,1792,614,1871,833,10,62,16,44
"WBGene00011550",6,4,4,13,4,5,61,6,197,12,15,9,93,3,18,8,210
"WBGene00011551",297,3,4,441,91,0,787,11,348,139,803,61,249,10,49,422,179
"WBGene00011552",0,0,12,6,0,0,24,0,104,21,12,9,31,1,12,5,27
"WBGene00011553",1,3,1,3,0,1,22,0,260,14,11,3,14,4,7,7,35
"WBGene00011554",30,2,82,337,100,4,162,3,254,47,185,382,2160,50,1353,817,157
"WBGene00011556",31,12,141,24,12,6,142,11,580,105,65,222,875,9,562,120,213
"WBGene00011557",0,1,5,2,6,1,4,2,52,4,1,9,24,7,15,1,21
"WBGene00011558",1179,280,6177,4891,2650,2227,32205,4059,23772,4339,9504,8397,8075,2199,3746,7746,45394
"WBGene00011559",287,699,3967,2519,446,685,1322,1860,2843,2806,3637,3184,6102,384,6098,3037,6081
"WBGene00011560",8800,2642,12877,4521,5493,175,9302,3738,4809,1982,2728,3622,3353,1088,14173,2460,49152
"WBGene00011561",308,55,12834,24328,167,79,11835,79,41379,5168,25496,13217,9600,93,47355,10523,1060
"WBGene00011562",1010,492,2057,1936,2167,306,6036,1825,2321,496,1536,1525,1384,1872,2896,990,12539
"WBGene00011563",173,6,66,357,356,40,478,124,810,101,148,159,79,192,274,178,434
"WBGene00011564",9074,9,675,3194,12454,2007,11212,2508,12029,2016,3166,2237,1506,5061,1505,2713,7618
"WBGene00011565",10,3,1,36,3,6,70,2,47,8,20,0,9,9,0,23,35
"WBGene00011566",10,3,0,23,0,4,60,2,154,23,13,1,11,16,2,31,48
"WBGene00011568",23,1,1,7,16,7,78,8,107,10,14,4,5,6,7,3,72
"WBGene00011570",1,4,0,6,0,2,1,0,16,5,10,0,3,9,2,17,8
"WBGene00011571",1722,23,4809,2622,467,1,8914,267,20537,2793,21430,7178,7515,26,8906,2784,1515
"WBGene00011572",3761,6,3,37,1621,9,3317,46,183,427,91,61,165,145,31,40,4529
"WBGene00011573",5985,4,1705,8913,6579,64,5040,44,13356,2384,13335,5982,2443,1142,4053,784,3850
"WBGene00011574",4,0,0,8,0,2,5,0,21,2,6,0,12,3,7,14,7
"WBGene00011575",81,34,37,1378,148,17,915,57,1474,227,1505,174,176,41,114,1090,320
"WBGene00011576",449,383,639,1745,1140,218,1184,1057,336,253,699,549,413,716,2260,832,3517
"WBGene00011577",0,0,0,2,0,0,2,0,2,3,1,3,21,0,2,1,2
"WBGene00011578",197,8,71,174,178,8,1774,32,2242,124,332,119,441,27,212,354,2123
"WBGene00011579",144,20,138,2285,114,5,394,42,9662,673,2994,1022,461,24,553,1548,230
"WBGene00011580",6635,1502,7365,10025,12618,1126,13674,4504,7853,2652,5989,7225,4069,5762,13892,5670,28215
"WBGene00011581",12,6,9,115,10,1,108,11,661,25,68,7,15,7,7,68,292
"WBGene00011582",51,12,33,2766,29,10,125,9,537,32,928,9,36,8,10,1225,368
"WBGene00011583",3,3,111,8,0,0,13,7,1277,19,3,53,120,2,185,5,21
"WBGene00011586",34,2,52,2645,16,0,163,3,3783,298,1779,234,250,6,118,2763,32
"WBGene00011587",1990,29,689,1636,1077,26,5957,136,2496,678,2387,928,2335,316,4162,1846,1461
"WBGene00011589",1845,991,1388,2189,3423,908,3594,4158,2687,705,1277,875,902,2087,3546,1842,11740
"WBGene00011590",7682,15,71,460,2531,21,18263,68,22786,3081,1888,1875,2076,251,335,361,3882
"WBGene00011591",105,1,95,168,215,16,484,70,104,35,120,69,4634,44,197,202,4190
"WBGene00011592",417,2,28,37,547,21,647,34,365,63,32,89,101,75,77,30,191
"WBGene00011593",19,3,7,1364,9,4,163,1,202,56,960,41,144,10,45,909,136
"WBGene00011594",1298,3,4,19,379,3,3399,6,21,314,10,239,494,30,64,11,1119
"WBGene00011595",2,9,0,796,1,6,3,5,8,3,2073,2,1,12,2,689,24
"WBGene00011596",16,4,41,2155,6,7,256,3,1616,47,2198,20,119,10,48,2312,354
"WBGene00011597",641,1077,1341,2789,655,48,850,485,335,141,1055,704,713,220,4261,1367,5674
"WBGene00011600",273,436,443,1125,305,9,443,307,145,30,319,329,310,104,1601,514,2355
"WBGene00011601",362,492,807,2313,384,58,433,249,160,101,854,569,709,169,3375,1301,2161
"WBGene00011604",4382,1908,4124,4695,6909,209,13408,2340,7241,3586,2509,3474,6899,3388,6910,3235,63181
"WBGene00011605",12666,4357,9483,10839,19526,983,31695,8004,34194,6524,6589,8386,4299,10110,14151,7028,76684
"WBGene00011609",6,3,21,43,3,0,6,1,67,11,24,17,65,6,89,20,18
"WBGene00011610",9,2,23,137,17,2,17,8,66,21,65,36,164,4,71,91,41
"WBGene00011611",32,18,74,100,37,2,71,37,342,14,84,45,120,13,149,61,337
"WBGene00011612",32,16,75,131,86,5,98,39,138,19,72,63,159,15,386,56,241
"WBGene00011613",160,13,116,454,144,8,358,88,677,71,194,131,252,78,376,230,633
"WBGene00011614",2730,595,712,560,3526,383,3884,2519,4328,341,464,282,216,1718,626,481,13843
"WBGene00011615",1223,1004,865,637,2375,400,2600,1835,1355,193,395,266,199,1384,949,492,12440
"WBGene00011616",1,0,5,35,0,3,11,2,195,10,75,32,86,2,116,28,15
"WBGene00011617",1,3,69,6,1,2,13,2,10,4,10,422,4428,23,297,7,103
"WBGene00011618",1,0,0,0,4,1,7,3,3,0,0,0,2,4,7,0,21
"WBGene00011619",13,7,19,7,12,12,22,9,1,11,1,91,1461,12,171,0,101
"WBGene00011620",14,0,0,43,10,2,11,1,11,3,17,1,1,11,1,39,12
"WBGene00011621",0,3,0,2,2,2,2,0,1,2,1,11,60,3,7,0,16
"WBGene00011622",9,2,25,3,9,1,36,9,262,18,21,15,14,7,11,1,45
"WBGene00011623",6,5,0,18,0,2,12,10,21,4,15,0,3,4,6,8,42
"WBGene00011624",1283,17,5,380,650,13,2174,258,77,290,292,178,149,60,17,220,916
"WBGene00011625",4640,3956,5556,5199,6897,481,10759,4149,4678,1521,3392,2383,2030,3638,9534,3551,39901
"WBGene00011629",4451,5473,19802,45083,4761,68,16231,1042,48212,13461,34285,23305,14481,1544,32873,24772,16234
"WBGene00011630",20,8,3,233,30,11,305,10,1362,138,198,76,206,18,33,257,216
"WBGene00011631",2961,693,1563,6277,3799,384,5611,2157,6569,830,3733,1904,1340,1700,5059,4711,5822
"WBGene00011633",1125,62,56,611,2810,457,1577,920,1737,162,442,188,69,1024,285,594,1034
"WBGene00011634",1350,374,1291,3116,2891,878,4265,2216,10111,894,3157,1964,2472,1391,2829,2713,6398
"WBGene00011635",1224,842,860,1411,3679,3025,2490,6243,1088,613,1269,1254,981,2705,2431,1522,6924
"WBGene00011636",3056,2361,2146,2843,4325,1320,5203,4312,3857,554,1345,1187,1164,2580,5472,1980,25978
"WBGene00011637",3531,2034,1196,2586,6047,603,4546,2590,1893,1099,1813,1815,1484,2281,5975,1689,12722
"WBGene00011638",17690,5577,9570,6514,23104,5802,25977,18938,25514,6353,6054,15303,6464,10972,13883,9543,105547
"WBGene00011639",4749,818,2243,10055,4963,178,11806,1261,53015,2967,6093,3215,1566,1695,5752,7343,8834
"WBGene00011640",54,0,2,368,15,16,61,50,107,18,156,23,34,9,8,139,29
"WBGene00011641",792,185,909,793,1812,1005,1851,1289,1425,560,1383,1291,1408,1098,1650,1373,3404
"WBGene00011642",698,1175,740,300,1269,198,1680,930,516,39,869,165,229,671,995,162,9493
"WBGene00011643",534,6,16,528,276,10,753,54,1213,163,493,199,1003,32,69,186,1104
"WBGene00011644",14,2,8,341,6,1,221,4,10467,150,380,65,27,11,32,374,44
"WBGene00011645",1349,896,2615,2015,2073,489,3630,2610,7256,1207,1614,1609,742,1260,2389,1857,15830
"WBGene00011646",44,7,4,69,15,1,267,6,163,64,150,17,181,17,17,60,160
"WBGene00011647",31180,4916,10713,17688,41121,2715,63724,8938,36947,5862,20806,7231,5907,13735,14545,11206,86754
"WBGene00011648",5764,667,1503,3247,10563,1659,6577,4880,3974,2114,2821,2743,2598,4377,2736,3912,17390
"WBGene00011649",0,5,2,37,7,5,5,4,31,12,134,3,8,8,9,36,45
"WBGene00011650",7,2,1,0,8,4,9,1,42,6,0,0,8,6,3,0,16
"WBGene00011651",13,1,2,4,13,5,34,2,1184,4,0,1,15,8,4,0,41
"WBGene00011652",0,4,0,0,1,5,8,0,1,1,0,0,3,7,1,0,13
"WBGene00011653",3,7,0,1,0,7,16,7,14,4,0,0,6,13,5,0,117
"WBGene00011654",5,4,0,0,3,1,27,4,16,6,2,1,9,11,11,2,181
"WBGene00011655",0,3,1,2,0,12,13,3,25,4,1,0,4,12,8,0,22
"WBGene00011656",20,5,0,1,11,3,37,4,17,4,0,1,13,15,2,2,157
"WBGene00011657",35,1,0,1,56,3,39,64,55,5,0,1,14,21,5,3,116
"WBGene00011658",9,6,0,2,8,5,15,5,39,4,0,1,8,16,2,1,47
"WBGene00011659",12,1,0,0,5,2,18,5,154,5,1,0,2,6,2,1,39
"WBGene00011661",5483,121,395,3933,6375,112,5815,441,7786,1362,2883,2107,703,1350,962,2418,2816
"WBGene00011662",2101,1664,4755,13092,2517,208,4324,1812,16045,1668,5418,3187,2826,1178,8767,6396,17103
"WBGene00011663",302,136,240,598,548,172,414,545,712,135,391,174,196,260,882,479,937
"WBGene00011664",641,577,819,1044,867,235,1293,795,1477,240,661,479,488,506,1896,634,5255
"WBGene00011665",2530,3,0,138,5364,213,2024,305,25,392,242,538,221,1309,38,32,1161
"WBGene00011666",0,1,0,572,7,1,7,4,48,6,909,3,5,4,3,107,8
"WBGene00011668",0,1,115,10,0,0,29,3,704,49,9,315,291,6,416,6,3
"WBGene00011669",1,9,116,46,0,1,7,10,369,3,10,63,365,4,340,17,66
"WBGene00011670",8,2,46,43,6,8,79,6,441,87,41,186,335,11,247,64,85
"WBGene00011671",4,6,4,18,8,6,9,2,54,8,14,17,64,6,15,55,50
"WBGene00011672",74,4,40,1064,205,6,146,52,1430,331,1735,153,252,27,203,971,130
"WBGene00011673",260,3,4,620,603,13,539,87,1295,125,1111,109,199,164,30,368,526
"WBGene00011674",7,2,3,41,6,3,24,3,117,7,18,13,21,9,20,31,38
"WBGene00011675",261,13,6,531,537,104,490,106,442,57,362,30,19,145,21,701,228
"WBGene00011676",322,6,97,8023,692,10,393,55,965,1386,6419,2644,357,214,788,6251,212
"WBGene00011677",110,6,3,557,341,21,218,80,222,19,535,31,5,174,28,396,136
"WBGene00011678",201,9,9,161,183,8,374,12,867,76,222,47,35,22,26,231,83
"WBGene00011679",5739,423,3141,4529,6870,1842,10443,3462,18975,6949,5989,9411,4730,2653,7238,7299,11174
"WBGene00011680",3622,1369,3418,2774,4110,625,9191,6182,27929,1596,2200,1828,778,2082,2265,1950,45981
"WBGene00011681",1725,14,730,12171,1225,39,4892,236,65749,2316,7360,2780,1207,298,1794,8954,1143
"WBGene00011682",79,6,12,1598,8,14,679,11,1348,205,1160,95,460,6,71,666,679
"WBGene00011683",26,1,120,45,5,6,221,4,3043,662,134,668,324,10,260,48,38
"WBGene00011684",458,10,237,1225,253,28,1622,73,8125,704,1419,1377,2098,34,695,2631,1769
"WBGene00011685",1,3,3,9,1,0,5,0,66,4,0,1,30,0,6,2,0
"WBGene00011687",2629,1640,2918,3054,3866,3985,7123,11206,4292,744,2684,1553,2192,4132,4405,2633,41919
"WBGene00011688",1822,870,3796,2005,2448,674,4631,1780,6072,1747,2013,1857,1892,1329,3919,2220,8691
"WBGene00011689",39,35,701,33,26,4,80,81,118,10,19,20,222,26,1089,42,497
"WBGene00011690",13,0,10,2,7,2,9,4,11,1,2,1,11,4,17,0,66
"WBGene00011691",285,127,291,53,230,63,468,221,126,22,43,27,2270,89,864,43,6285
"WBGene00011692",2796,2,97,8379,2861,28,3457,106,12754,497,3647,286,117,530,227,2983,916
"WBGene00011693",97,6,1,119,27,3,247,1,183,23,52,12,48,16,9,88,149
"WBGene00011694",845,10,291,231,935,54,2168,79,1324,1177,1643,2486,608,182,1190,523,426
"WBGene00011695",4,8,0,64,9,1,44,2,481,37,41,10,25,5,13,16,27
"WBGene00011696",6445,473,1971,4041,7561,141,14949,1139,7796,2396,2419,2601,2041,2025,4525,2514,14397
"WBGene00011697",0,3,3,97,0,3,6,0,62,7,36,5,12,15,16,121,26
"WBGene00011698",69,0,3,477,652,137,495,165,139,13,313,42,18,535,8,340,1061
"WBGene00011699",46,6,46,44301,185,7,248,17,1588,7,18941,71,48,84,127,22145,62
"WBGene00011701",0,3,1,50,2,5,16,2,105,19,19,3,5,6,6,68,19
"WBGene00011702",7,11,0,254,0,3,49,6,219,12,234,2,9,10,4,154,27
"WBGene00011703",0,5,0,4,5,5,22,6,46,9,2,1,7,11,4,11,28
"WBGene00011704",13,22,163,37,38,445,238,2259,3,4,95,0,7,152,11,4,2606
"WBGene00011705",2013,9,54,2074,1299,9,2291,66,2699,196,1156,333,206,137,255,1703,586
"WBGene00011706",331,250,180,46,1624,11242,2863,36283,39,24,74,57,23,3346,139,34,14149
"WBGene00011707",310,5,53,311,834,183,439,279,283,230,506,220,508,581,250,310,171
"WBGene00011708",8,2,82,4657,15,0,56,3,3465,657,2591,680,340,3,373,4653,27
"WBGene00011709",64,8,4,366,23,3,237,15,652,60,340,21,64,21,33,383,189
"WBGene00011710",1,5,1,14,1,1,2,0,15,4,9,1,81,2,5,11,2
"WBGene00011712",4,17,13,81,8,6,89,12,120,18,130,31,195,9,35,80,324
"WBGene00011713",10405,12,1521,742,2569,5,14358,271,3695,2214,3594,3625,1079,187,2583,1121,3903
"WBGene00011715",4,0,1,1,4,0,5,1,23,2,1,1,0,3,1,0,8
"WBGene00011716",3,5,4,4,1,3,27,76,6,9,3,0,6,4,9,1,160
"WBGene00011717",5008,306,678,4355,5664,851,7433,1593,3862,1034,3174,1982,777,2156,1700,3613,6399
"WBGene00011718",640,4,171,3522,314,21,530,22,2355,170,3055,689,342,39,1021,2476,132
"WBGene00011719",4120,60,217,2037,5146,106,4148,305,1212,738,1590,1650,654,1252,1147,1364,1553
"WBGene00011720",5292,2357,4158,7909,7337,176,10767,1688,18663,2812,3118,4172,9954,2917,7378,5434,25256
"WBGene00011721",20,2,4,1,6,2,11,0,6,1,1,31,191,4,86,2,19
"WBGene00011722",7040,2741,5202,6775,9698,1857,13232,8323,25004,2238,5729,3600,3005,5060,8421,6276,54402
"WBGene00011723",1049,4,340,9886,648,6,2802,58,30315,1220,7353,971,348,127,506,5012,951
"WBGene00011724",0,1,1,0,0,3,1,1,13,1,0,18,17,5,7,0,4
"WBGene00011725",17,4,96,187,9,8,138,7,1108,458,204,540,112,8,222,151,60
"WBGene00011726",2425,7,138,5716,1495,4,3557,16,11872,332,2143,447,164,204,263,3735,804
"WBGene00011727",340,9,76,1832,81,4,779,11,2450,100,1144,239,112,23,163,1644,121
"WBGene00011729",22155,1926,9931,7366,28552,1226,53659,7824,51078,4625,7550,4251,11121,11546,7140,4754,238122
"WBGene00011730",7480,1862,2305,5412,9698,4096,10920,7744,15617,3107,3617,4059,2976,5823,6752,5420,19073
"WBGene00011731",1000,1226,985,1140,1349,240,1311,891,1473,403,760,623,579,467,2355,976,5348
"WBGene00011732",1984,13,246,6069,739,27,5234,85,20494,1054,3023,1005,473,132,707,3100,1322
"WBGene00011733",103,10,345,4773,154,32,393,91,7037,1684,2620,553,1111,74,1553,3811,218
"WBGene00011734",15183,2464,2337,4500,22382,2606,13636,8899,10087,2882,4305,3415,2512,6497,5979,5127,22489
"WBGene00011735",7182,1891,7791,9458,6713,926,9897,3815,22138,4866,8361,5372,5418,2546,14888,9723,20561
"WBGene00011736",6139,31,2895,13590,4722,31,12129,168,40001,4499,18616,7806,3890,1002,3571,7225,3893
"WBGene00011737",37340,82,2563,80034,42427,4175,75633,11801,164553,7507,35375,4822,2408,17225,2427,49133,55218
"WBGene00011738",12501,953,3139,8534,21901,2492,30049,14686,16204,5266,7272,5629,1735,11791,3201,9985,61014
"WBGene00011739",5751,319,608,1005,13335,1180,6407,2405,1383,425,777,655,565,4983,2127,667,5562
"WBGene00011740",2708,1162,2053,3465,5751,3577,5648,5448,4385,1696,2702,2528,1999,2667,5860,3068,8711
"WBGene00011741",2043,6628,1485,111,1240,384,2732,3174,306,26,91,28,653,516,6286,66,28261
"WBGene00011742",2063,629,1104,1990,3376,437,4146,1246,3458,1229,1706,1638,799,1711,2782,1875,7096
"WBGene00011743",1315,3111,1170,4170,2554,739,2454,4883,1112,1054,2844,1750,1922,1240,6490,3696,13005
"WBGene00011744",170,0,3,11,96,11,340,69,74,231,28,444,67,27,18,65,79
"WBGene00011745",68,8,6,723,27,5,194,10,420,141,391,71,19,12,40,466,75
"WBGene00011746",1288,2627,6364,2301,963,72,2048,748,6495,521,1001,1819,2060,429,11090,1117,12609
"WBGene00011747",2726,2308,2727,4182,5850,266,7003,2549,2710,774,1792,1915,1395,2537,6514,2738,15757
"WBGene00011749",7,2,24,5,13,5,12,7,39,3,2,26,418,7,89,7,19
"WBGene00011750",1006,3,0,0,1370,34,880,12,9,8,0,7,7,328,5,1,1050
"WBGene00011751",0,1,0,1,0,1,3,0,7,1,0,0,0,4,2,0,2
"WBGene00011752",88,57,23,292,161,17,142,32,781,73,342,117,53,53,124,293,125
"WBGene00011753",7,7,1241,1667,8,3,20,6,111,14,8637,998,1134,10,4745,1245,27
"WBGene00011754",5,5,11,137,7,10,89,17,821,132,56,31,27,11,20,37,51
"WBGene00011755",6650,28,458,7061,7015,73,10597,278,22934,2459,5410,2459,1130,1675,1256,4222,4953
"WBGene00011756",5383,20,257,1235,4985,67,7275,420,3151,1253,1473,1735,968,933,881,1242,2204
"WBGene00011757",2062,12,12,45,431,9,3870,59,97,567,253,227,351,40,73,26,1015
"WBGene00011758",5774,1538,1982,4595,10932,2897,11481,9868,5108,1807,2839,2889,2173,6078,6261,3391,28034
"WBGene00011759",1951,398,1014,3711,3163,2112,3592,3346,3734,1162,2919,2484,1799,1813,4132,4254,4779
"WBGene00011760",8583,63,156,1073,13472,435,9490,727,4528,953,2193,1034,394,2839,492,1413,3419
"WBGene00011761",2797,1941,2102,3938,4964,645,5533,3144,4611,1315,2036,2844,1599,2758,5000,2935,19860
"WBGene00011762",1754,3,5,457,1409,9,1953,7,260,485,364,188,90,215,55,362,467
"WBGene00011763",43400,17,231,34315,27062,76,54131,863,378142,12101,23170,1747,420,4143,412,17591,20360
"WBGene00011765",401,11,46,641,212,8,974,36,3276,411,626,246,101,29,117,688,300
"WBGene00011767",6587,229,590,2248,8499,752,7158,1919,3468,1326,1678,2385,2247,3127,1686,1483,5300
"WBGene00011768",19588,14,896,27711,20894,140,24507,562,19740,8921,37099,5513,1841,4435,2471,13523,9388
"WBGene00011770",538,31,22,211,891,113,678,758,29,21,147,64,19,224,57,166,1294
"WBGene00011771",7434,658,2652,6195,15817,539,24780,3778,11532,7292,6129,11948,4343,7251,6492,6822,25851
"WBGene00011772",37,4,29,445,16,4,300,20,1225,174,238,173,76,19,99,321,241
"WBGene00011773",3843,1578,849,2214,3968,757,5436,3057,8073,1084,2388,1917,1669,1126,3880,2420,11313
"WBGene00011774",451,8,78,831,1107,1758,645,2389,557,181,708,347,223,1101,343,1033,658
"WBGene00011777",144,94,302,119,139,15,217,135,108,26,77,510,1635,71,1299,95,704
"WBGene00011778",25,2,0,2,5,5,45,1,5,4,0,0,3,8,7,1,48
"WBGene00011779",0,7,0,0,0,4,7,3,16,4,5,0,0,7,6,0,20
"WBGene00011780",1,4,1,0,0,3,5,2,11,2,2,0,2,13,2,0,10
"WBGene00011781",1,2,0,0,4,1,10,0,17,6,0,0,2,1,4,0,26
"WBGene00011782",0,0,0,0,0,1,3,3,7,2,0,0,2,8,0,0,14
"WBGene00011783",0,4,0,1,0,10,10,2,43,0,0,0,1,11,4,0,23
"WBGene00011784",0,3,1,0,1,33,13,50,59,4,0,0,8,17,4,1,149
"WBGene00011785",18,8,1,0,2,4,190,1,39,4,0,0,3,5,0,1,411
"WBGene00011786",69,2,0,0,20,3,1002,2,12,5,0,4,7,19,5,0,604
"WBGene00011788",388,576,409,563,244,49,499,493,225,50,323,265,462,92,1706,372,4239
"WBGene00011789",14,5,15,9,30,6,32,36,108,3,3,102,214,17,65,1,67
"WBGene00011790",8,9,30,2,12,44,39,410,29,3,0,3,135,11,101,6,494
"WBGene00011791",91,156,307,4,92,122,743,1917,66,18,8,1,17,67,69,1,11750
"WBGene00011793",37,5,24,140,79,15,88,22,198,27,54,213,399,70,190,63,45
"WBGene00011794",5176,10,170,7939,4773,33,5920,157,7629,2001,6305,1076,805,900,580,6195,2097
"WBGene00011795",169,8,897,142,201,2,171,19,197,39,114,576,2845,34,2725,85,105
"WBGene00011796",6063,3,12,77,3182,2,8306,33,329,2467,560,1607,729,278,85,46,2171
"WBGene00011797",7,2,13,0,6,3,13,9,25,14,1,16,11,10,2,1,8
"WBGene00011798",13,9,150,176,13,5,77,9,750,553,239,515,136,10,297,402,30
"WBGene00011799",18,5,141,794,32,13,296,33,472,94,908,153,318,9,139,481,184
"WBGene00011800",5,9,152,29,16,6,64,19,542,932,45,617,308,7,566,159,54
"WBGene00011801",25,6,800,5047,78,3,637,24,6865,562,3733,433,585,37,426,4857,128
"WBGene00011802",10952,918,2414,4397,15469,601,18028,3889,14772,5073,4207,6973,2966,5778,4399,4419,21951
"WBGene00011803",11647,42,2514,108,4017,22,20993,994,2120,10297,2474,11011,6153,390,8905,2469,4923
"WBGene00011804",321,22,2127,977,452,18,783,100,557,248,718,1170,4988,139,2259,520,2302
"WBGene00011805",1139,549,1314,728,2269,2406,3226,20497,928,71,425,329,476,2021,1267,483,25521
"WBGene00011806",5289,1546,3375,4309,7935,1008,11486,4517,7886,2066,2392,2621,1672,4997,6121,2736,30212
"WBGene00011807",3553,1442,2579,2967,4990,291,6510,2384,4094,1098,2025,1958,1436,2310,5120,1993,18714
"WBGene00011808",2,3,517,1,0,1,6,4,29,13,2,142,478,5,278,0,5
"WBGene00011809",1424,672,453,253,3875,816,1866,8129,63,11,90,21,78,1532,824,170,12553
"WBGene00011810",18,21,27,3,23,5,28,25,34,2,0,34,129,13,121,1,228
"WBGene00011811",41,7,94,362,62,8,122,23,199,36,127,84,523,48,345,161,390
"WBGene00011812",30,22,49,71,37,9,76,40,102,14,26,48,84,22,223,58,271
"WBGene00011813",1299,273,636,4166,1823,115,1693,520,4063,402,1996,1103,698,608,1939,2730,2216
"WBGene00011814",1943,1036,1815,3115,2582,881,3692,2548,4337,871,1856,1432,885,1389,2760,1776,15253
"WBGene00011815",13619,2005,2938,9365,16239,3021,25147,7839,83157,3464,5774,2736,1845,6103,6564,5550,35436
"WBGene00011816",5,10,0,121,1,4,5,0,3,5,58,0,8,6,4,38,14
"WBGene00011817",31,4,48,1888,19,16,283,15,5759,215,1628,257,76,37,127,1335,88
"WBGene00011818",1,1,0,60,2,8,110,2,27,10,27,2,46,11,14,59,446
"WBGene00011819",619,787,1211,831,688,226,1192,1478,415,165,552,644,760,284,2775,547,12581
"WBGene00011820",2130,670,1040,617,3654,949,7259,3462,2809,690,527,754,275,2370,993,657,19108
