Gene_id,3-fold embryo Ce,4-cell embryo Ce,adult Ce,dauer larva Ce,elongating embryo Ce,embryo Ce,enclosing embryo Ce,fully-elongated embryo Ce,gastrulating embryo Ce,L1 larva Ce,L2 larva Ce,L2d-dauer molt Ce,L3 larva Ce,L4 larva Ce,late cleavage stage embryo Ce,newly molted young adult hermaphrodite Ce,post dauer stage Ce,proliferating embryo Ce
WBGene00044193,1,1,3,2518,0,7,1,6,0,41,0,47767,0,25,1,3,38,35
WBGene00044194,1,0,0,1170,0,6,1,2,0,10,1,33001,0,4,1,0,25,9
WBGene00044195,70,1,1,76,68,3,5,88,1,27,8,29,0,15,9,1,48,43
WBGene00044196,2,3,8,0,11,45,7,56,34,29,3,2,0,9,11,0,0,764
WBGene00044197,92,40,117,2,172,547,386,675,3702,53,5,13,1,38,268,3,0,6071
WBGene00044198,753,2,14,221,276,208,3,468,13,272,87,189,29,61,8,18,59,226
WBGene00044199,0,2,2,7,2,3,1,7,9,8,2,9,1,167,8,8,17,36
WBGene00044200,324,76,2406,52,785,2859,171,4103,1481,909,26,76,59,2315,435,174,53,56647
WBGene00044201,2,4,4,1149,7,0,3,15,2,388,37,1665,6,8,7,9,95,8
WBGene00044202,4,15,33,11,10,58,19,38,239,49,3,7,0,27,13,21,18,1098
WBGene00044203,88,6,4,4,121,12,26,144,23,41,1,3,1,219,53,7,0,35
WBGene00044204,1014,1110,4056,781,1760,1776,746,1557,2499,1139,249,519,403,1314,1095,4273,577,8831
WBGene00044205,5,4,248,212,34,55,1,77,3,279,11,156,143,1175,9,201,31,15
WBGene00044206,11,0,7567,48,5,47,1,54,1,11710,1469,189,2964,22278,5,1003,179,18
WBGene00044207,5,1,12,15,1,7,2,14,3,3389,17,18,85,941,4,73,14,15
WBGene00044208,0,1,4,1,0,0,2,5,0,287,4,1,14,529,4,14,3,2
WBGene00044209,56,3,337,116,35,293,4,144,17,1326,333,80,198,1670,8,943,90,328
WBGene00044210,118,13,228,683,652,324,177,620,126,1099,127,869,328,1408,349,451,591,458
WBGene00044211,41,0,46,45,111,33,3,236,39,648,44,42,78,485,56,92,81,388
WBGene00044212,10,1,944,884,9,25,2,38,8,14079,1459,1407,2098,13770,6,983,559,60
WBGene00044213,52,50,1748,541,37,186,2,133,21,219,68,318,309,1232,5,743,281,239
WBGene00044215,0,1,1,5,0,0,1,4,2,348,2,5,1,27,4,4,0,12
WBGene00044216,0,4,12,5,0,8,8,5,19,28,0,6,58,1559,10,59,4,41
WBGene00044217,13,9,43,119,32,12,5,59,34,444,18,44,11,67,25,26,98,308
WBGene00044218,36,3,258,163,90,87,7,260,25,3063,17,155,79,2169,21,237,202,1671
WBGene00044219,43,5,133,91,96,151,4,308,37,207,105,91,62,395,64,93,37,865
WBGene00044220,7,4,18,73,4,2,5,18,5,43,11,27,28,263,2,50,76,20
WBGene00044221,507,1,62,920,435,57,13,955,36,1125,254,821,320,530,47,293,883,88
WBGene00044222,0,2,79,17,2,27,3,15,17,23,9,15,16,8508,0,40,19,86
WBGene00044224,121,0,7,878,290,59,18,112,52,742,57,401,48,157,118,36,444,55
WBGene00044225,5,2,6,4,3,14,1,1,22,2,0,2,0,0,1,34,1,166
WBGene00044226,0,0,1,9,1,10,0,12,0,90,2,2,0,1,2,1,4,8
WBGene00044227,506,2,34,22,151,121,1,608,9,140,14,21,34,358,27,160,66,267
WBGene00044228,5,9,1,9,1,1,2,24,2,194,12,8,2,9,6,6,3,26
WBGene00044229,3,11,17,0,6,5,3,24,19,38,10,2,77,442,15,102,3,50
WBGene00044230,0,3,0,4,0,1,5,5,0,1103,0,3,1,10,3,1,0,38
WBGene00044232,121,1,30,35,83,27,3,190,5,168,97,45,2,100,14,57,37,172
WBGene00044233,438,174,838,389,506,756,27,780,229,1312,255,378,296,762,154,472,359,1638
WBGene00044235,0,1,1,0,0,0,1,6,2,3,6,1,27,356,2,11,1,24
WBGene00044237,6,4,15,44,4,3,5,49,0,583,6,61,1,667,12,4,10,18
WBGene00044238,80,6,44,274,20,29,3,334,12,3649,36,304,9,205,9,7,206,319
WBGene00044239,147,2,6,38,81,33,30,516,11,1388,11,15,11,146,26,3,9,566
WBGene00044240,0,0,1,7,7,2,4,8,13,28,7,1,6,64,10,6,0,16
WBGene00044241,344,3,53,320,626,73,132,701,267,895,71,330,174,202,257,147,329,166
WBGene00044242,0,2,340,2,1,0,0,1,0,7,2,2,2,14,4,1,0,8
WBGene00044243,15,6,67,8,9,6,0,39,3,57,7,3,30,424,2,164,11,18
WBGene00044244,0,0,19,3,3,1,2,13,1,12,5,6,2,1558,1,28,7,2
WBGene00044245,13,0,50,39,6,13,6,147,4,140,4,12,0,4,2,0,15,26
WBGene00044246,0,0,2,281,0,0,2,0,0,11,0,287,0,12,0,1,264,1
WBGene00044247,3,0,1,2,0,0,1,8,5,43,5,6,17,401,3,11,1,12
WBGene00044249,32,2,31,306,69,26,3,85,7,111,27,146,30,254,11,37,220,201
WBGene00044250,1,5,8,2,1,54,3,9,11,12,0,1,87,329,6,90,1,48
WBGene00044251,154,154,319,405,317,140,37,320,240,366,116,220,93,262,144,323,262,633
WBGene00044253,66,106,489,96,125,130,233,149,511,154,34,84,92,924,184,662,107,1291
WBGene00044254,0,0,0,0,0,0,0,2,0,4,2,1,0,2,2,1,0,2
WBGene00044256,11,6,146,52,11,89,27,33,60,427,34,63,52,669,23,126,69,269
WBGene00044257,3,2,22,19,4,26,0,16,3,73,3,21,49,1659,7,31,44,85
WBGene00044258,108,48,2780,497,146,139,24,278,89,315,162,324,308,1291,49,1550,274,981
WBGene00044259,13,9,2,6,29,19,10,18,268,8,0,33,0,1,12,5,2,703
WBGene00044260,1925,5,290,1908,1087,729,22,6245,79,10565,1059,2454,1346,1528,69,640,3405,743
WBGene00044261,26,1,31,21,43,221,16,55,57,253,14,17,34,604,27,243,7,34
